clientId,company,category,city,state,contactTitle,website,pitchAngle,source,seedFile
osm-30328141,Smithfield Foods,commercial_solar,Springdale,OH,Director of Facilities,,Distributor building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-978521384,Smock Fansler Corporation,commercial_solar,Indianapolis,IN,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-490613865,Smp Four Seasons,commercial_solar,Dallas-Fw,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-470953893,Smurfit Kappa,commercial_solar,Inland Empire Ca,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1489139998,Smyrna Ready Mix,commercial_solar,Nashville,TN,Director of Facilities,,Concrete_plant building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-202215326,Snappy Lube,commercial_solar,Cary,NC,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-474710522,Snider Inc,commercial_solar,Charlotte,NC,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-413385301,Snow Removal Operations Area,commercial_solar,Denver,CO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1128263814,Snow Removal Operations Area,commercial_solar,Denver,CO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-319354782,Snow Removal Yard,commercial_solar,Denver,CO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-558440587,Snyder Hill Pumping Plant,commercial_solar,Tucson,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-397894506,So Cal Imports,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-125081415,Socal Edision,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-125081415,Socal Edision,commercial_solar,Inland Empire Ca,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1219633435,Soco Studios,commercial_solar,Austin,TX,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-577304601,Sofidel Paper Plant,commercial_solar,Columbus,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-210222949,Sofive,commercial_solar,Chicago,IL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1015184648,Sokkia Corporation,commercial_solar,Olathe,KS,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-809266182,Solomon Automotive,commercial_solar,Atlanta,GA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-56343318,Solvay,commercial_solar,Cincinnati,OH,Director of Facilities,,Factory building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-637145413,Solvay Flourides,commercial_solar,St Louis,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-53258676,Solway Gallery,commercial_solar,Cincinnati,OH,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-525028240,Songer Building,commercial_solar,Pittsburgh,PA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-769431780,Sonoco,commercial_solar,Richmond,VA,Director of Facilities,,Paper_mill building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1481203124,Soulard Commerce Center,commercial_solar,St Louis,MO,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-391234714,Sound Department,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-203274082,Sound Ford,commercial_solar,Renton,WA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1057030363,Source One Displays,commercial_solar,Tucson,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-263445504,South Adams Water & Sanitation -Distribution & Collection,commercial_solar,Henderson,CO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-793155539,South Austin Regional Wastewater Treatment Plant,commercial_solar,Austin,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-465306430,South Coast Produce,commercial_solar,Dallas,TX,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-36806768,South Davis Sewer District South Plant,commercial_solar,Salt Lake City,UT,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-229151486,South District Wastewater Treatment Plant,commercial_solar,Miami-Dade,FL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1315118876,South Eastern Freight,commercial_solar,Tampa,FL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-909646849,South Houston Terminal,commercial_solar,Houston,TX,Director of Facilities,,Petroleum_terminal building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-288283054,South Paint Shop (Model S & Model X),commercial_solar,Bay Area,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1428370879,South Tank Farm,commercial_solar,Boston,MA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1481209680,South Texas Truck Salvage,commercial_solar,San Antonio,TX,Director of Facilities,,Scrap_yard building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1223803105,South Valley Prefab,commercial_solar,Centennial,CO,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-845749951,South Yard Maintenance,commercial_solar,Pittsburgh,PA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-525028250,South Yard Storage,commercial_solar,Pittsburgh,PA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-407334178,Southbay Motorcycles 808,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-434903536,Southcenter South Industrial Park,commercial_solar,Seattle,WA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-814270907,Southcreek Construction,commercial_solar,Charlotte,NC,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-814270908,Southcreek Construction,commercial_solar,Charlotte,NC,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-348359685,Southeast Rigging,commercial_solar,Jacksonville,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-931920032,Southeast Toyota Distributors,commercial_solar,Jacksonville,FL,Director of Facilities,,Logistics building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-24669087,Southeast Water Pollution Control Plant,commercial_solar,Bay Area,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1318563287,Southeastern Freight Lines,commercial_solar,Houston,TX,Director of Facilities,,Trucking building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-545472265,Southeastern Freight Lines,commercial_solar,Garland,TX,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-474667139,Southeastern Freight Lines,commercial_solar,Charlotte,NC,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1212565891,Southeastern Freight Lines,commercial_solar,Nashville,TN,Director of Facilities,,Trucking building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1383619061,Southeastern Freight Lines,commercial_solar,Austin,TX,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-969454177,Southeastern Paper,commercial_solar,Atlanta,GA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1210616618,Southerland,commercial_solar,Nashville,TN,Director of Facilities,,Mattresses building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-66158310,Southern California Edison,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-135246626,Southern California Edison,commercial_solar,Valencia,CA,Director of Facilities,,Natural_gas building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-33604038,Southern California Edison,commercial_solar,Inland Empire Ca,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-87284479,Southern California Edison,commercial_solar,Inland Empire Ca,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-114017807,Southern California Edison,commercial_solar,Wildomar,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-334356605,Southern California Edison,commercial_solar,Inland Empire Ca,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-633717905,Southern California Edison,commercial_solar,Stanton,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-28738031,Southern California Gas Company,commercial_solar,Los Angeles,CA,Director of Facilities,,Natural_gas building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-611330470,Southern Cotton Oil Co,commercial_solar,Richmond,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-797758141,Southern Glazer'S Wine & Spirits,commercial_solar,Denver,CO,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1233478526,"Southern Graphic Systems, Inc.",commercial_solar,Richmond,VA,Director of Facilities,,Industrial_machinery building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-847342348,Southern Melon Distributors,commercial_solar,Atlanta,GA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1014994328,Southern Natural Gas,commercial_solar,Jacksonville,FL,Director of Facilities,,Gas building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1014994333,Southern Natural Gas,commercial_solar,Jacksonville,FL,Director of Facilities,,Gas building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1014994344,Southern Natural Gas,commercial_solar,Jacksonville,FL,Director of Facilities,,Gas building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1014994346,Southern Natural Gas,commercial_solar,Jacksonville,FL,Director of Facilities,,Gas building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1014994351,Southern Natural Gas,commercial_solar,Jacksonville,FL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-809266177,Southern Pipe And Supply,commercial_solar,Atlanta,GA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-710689632,Southern Refrigeration Corporation,commercial_solar,Richmond,VA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-252837458,Southern States Silo,commercial_solar,Richmond,VA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-651728928,Southern Stretch Forming,commercial_solar,Denton,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-587567976,Southern Style Spices,commercial_solar,Manor,TX,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-435236217,Southern Warehouse,commercial_solar,Medley,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1467911972,Southgate Industrial District,commercial_solar,Kansas City,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-669734198,Southpointe Business Park,commercial_solar,Kansas City,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-707137778,Southport Auto Terminal,commercial_solar,Nj-Phila Port,NJ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1128350763,Southside Industrial Sites,commercial_solar,Tucson,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-989226563,Southside Steel,commercial_solar,Indianapolis,IN,Director of Facilities,,Scrap_yard building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-402895259,Southton Rail Yard,commercial_solar,San Antonio,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-53199779,Southwest Airlines Cargo,commercial_solar,Seatac,WA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1481209688,Southwest Auto & Truck,commercial_solar,San Antonio,TX,Director of Facilities,,Scrap_yard building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-916890255,Southwest Freight San Antonio,commercial_solar,San Antonio,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-100159612,Southwest Research Institute Locomotive Technology Center,commercial_solar,San Antonio,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-202467279,Southwestern Bag,commercial_solar,Los Angeles,CA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-207068098,Southwestern Bag,commercial_solar,Los Angeles,CA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-51132574,Southwestern Bell Building,commercial_solar,Houston,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-630342297,Southwestern Mechanical,commercial_solar,Gilbert,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-223668282,Space Kraft,commercial_solar,Indianapolis,IN,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-128304233,Space Shop Self Storage,commercial_solar,Atlanta,GA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-981099973,Sparks Motors,commercial_solar,Salt Lake City,UT,Director of Facilities,,Scrap_yard building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-666181564,Spartan Logistics,commercial_solar,Obetz,OH,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-257639286,Spartan Printing Inc.,commercial_solar,Dallas-Fw,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-47968894,Spclsigns,commercial_solar,Raleigh,NC,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-409026771,Spearmint Rhino Gentlemen'S Club,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-706088936,Special Devices Inc.,commercial_solar,Phoenix,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-376723970,Special Truck And Auto Salvage,commercial_solar,Austin,TX,Director of Facilities,,Scrap_yard building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-169666979,Specialized Bicycle Components,commercial_solar,Groveport,OH,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-299600964,Specialty Magnetics Llc,commercial_solar,Macedonia,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1047182801,Specialty Supply,commercial_solar,Salt Lake City,UT,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-284346381,Spectra,commercial_solar,Atlanta,GA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-284346419,Spectra,commercial_solar,Atlanta,GA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-936496821,Spectrum,commercial_solar,Charlotte,NC,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-330602432,Spectrum Brands,commercial_solar,Lake Forest,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-376477764,Speed Commerce,commercial_solar,Pataskala,OH,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-376477887,Speed Commerce,commercial_solar,Pataskala,OH,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-840537407,Speedway Industrial Park,commercial_solar,Indianapolis,IN,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-62106252,Speedway Muffler,commercial_solar,Rancho Cucamonga,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-968835911,Spices Usa,commercial_solar,Atlanta,GA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-210167428,Spiegel Office Building,commercial_solar,Chicago,IL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-557166888,Spire,commercial_solar,Independence,MO,Director of Facilities,,Gas building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-635820183,Spitas Wrecking Company,commercial_solar,St Louis,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-352691438,Sponge Factory,commercial_solar,Newark,NJ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1208204380,Sportsman Cap & Bag,commercial_solar,Lenexa,KS,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-439286958,Spr Packaging,commercial_solar,Rockwall,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1025013123,Spring Back Utah,commercial_solar,Salt Lake City,UT,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-387287685,Springdale Energy Llc,commercial_solar,Pittsburgh,PA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-169666505,Springs Global,commercial_solar,Groveport,OH,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1009972822,Sprint Cmc,commercial_solar,Lenexa,KS,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-315690580,Sprintz Furniture Distribution Center,commercial_solar,Nashville-Davidson,TN,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-693781272,Spx Cooling Technologies,commercial_solar,Olathe,KS,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-999879434,Spx Cooling Technologies,commercial_solar,Olathe,KS,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1481209677,Square Deal Auto Parts,commercial_solar,San Antonio,TX,Director of Facilities,,Scrap_yard building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1489111768,Srm Concrete,commercial_solar,Nashville,TN,Director of Facilities,,Concrete_plant building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-549233888,Sroka Inc.,commercial_solar,Strongsville,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-32315952,Srp Southside Water Service Center,commercial_solar,Phoenix,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-238000121,Srp Wellsite 12.5e -13.1n,commercial_solar,Phoenix,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-468091003,Srs Building Products,commercial_solar,Dallas-Fw,TX,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-230296664,Srvusd Service Center,commercial_solar,Bay Area,CA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-253793876,Ssi,commercial_solar,Kansas City,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-26346638,Sst Bearing Corporation,commercial_solar,Loveland,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-976757028,Stace-Allen Chucks Inc,commercial_solar,Indianapolis,IN,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-496967186,Stack Heating & Cooling,commercial_solar,Avon,OH,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-328702378,Stack Infrastructure,commercial_solar,Hillsboro,OR,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-471691757,Stack Infrastructure,commercial_solar,Hillsboro,OR,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-899634245,Stack Infrastructure,commercial_solar,Hillsboro,OR,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-723117951,Stack New Albany,commercial_solar,Columbus,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1268229229,Stadler Rail,commercial_solar,Salt Lake City,UT,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-27913154,Stag Arlington North,commercial_solar,Arlington,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-388818540,Stag Arlington South,commercial_solar,Arlington,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-605362770,Stag Dfw Airport Domestic Bldg.,commercial_solar,Grapevine,TX,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
